DIVIDE_10,DIVIDE_10,TAU,RESET,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,FLY_DOWNWARDS,IF_ELSE
DIVIDE_10,DIVIDE_10,TAU,RESET,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,FLY_DOWNWARDS,IF_HP
DIVIDE_10,DIVIDE_10,TAU,RESET,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,FLY_DOWNWARDS,IF_END
DIVIDE_10,DIVIDE_10,TAU,RESET,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,FLY_DOWNWARDS,RESET
DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,ADD_TRIGGER,RESET
DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,IF_HP,RESET
DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,BLACK_HOLE#0,RESET
DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,RESET,ADD_TRIGGER
DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,RESET,DIVIDE_10
DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,RESET,DIVIDE_2
DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,RESET,DIVIDE_3
DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,RESET,DIVIDE_4
DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,RESET,IF_ELSE
DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,RESET,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,RESET,IF_HP
DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,RESET,BLACK_HOLE#0
DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,RESET,IF_END
DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,RESET,RESET
DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,RESET,TAU
DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,TAU,RESET
DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_10,ADD_TRIGGER,FLY_DOWNWARDS,RESET
DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_10,FLY_DOWNWARDS,FLY_DOWNWARDS,RESET
DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_3,ADD_TRIGGER,FLY_DOWNWARDS,RESET
