FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,DIVIDE_10,DIVIDE_3,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,DIVIDE_10,DIVIDE_4,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET,ADD_TRIGGER
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET,DIVIDE_10
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET,DIVIDE_2
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET,DIVIDE_3
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET,DIVIDE_4
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET,IF_ELSE
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET,FLY_DOWNWARDS
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET,IF_HP
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET,BLACK_HOLE#0
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET,IF_END
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET,TAU
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,TAU,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_2,TAU,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_3,TAU,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_4,TAU,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,IF_ELSE,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,IF_ELSE,TAU,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,BLACK_HOLE#0,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,BLACK_HOLE#0,TAU,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,IF_END,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,IF_END,TAU,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_10,DIVIDE_3,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_10,DIVIDE_4,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_10,RESET,ADD_TRIGGER
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_10,RESET,DIVIDE_10
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_10,RESET,DIVIDE_2
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_10,RESET,DIVIDE_3
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_10,RESET,DIVIDE_4
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_10,RESET,IF_ELSE
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_10,RESET,FLY_DOWNWARDS
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_10,RESET,IF_HP
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_10,RESET,BLACK_HOLE#0
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_10,RESET,IF_END
